,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_mean
241,1944-08-29 00:00:00+00:00,12.620166,0.6,8.746299
242,1944-08-30 00:00:00+00:00,12.997251,6.5999994,13.050085
243,1944-08-31 00:00:00+00:00,11.863917,13.200001,17.29901
244,1944-09-01 00:00:00+00:00,13.176417,2.3,15.762318
245,1944-09-02 00:00:00+00:00,11.199334,16.2,18.843483
246,1944-09-03 00:00:00+00:00,9.495168,11.3,9.63717
247,1944-09-04 00:00:00+00:00,14.161834,15.700002,12.051751
248,1944-09-05 00:00:00+00:00,12.940999,16.8,18.198606
249,1944-09-06 00:00:00+00:00,10.845166,7.9999986,8.746154
250,1944-09-07 00:00:00+00:00,9.591001,10.6,9.458543
251,1944-09-08 00:00:00+00:00,8.388917,1.8,7.997416
252,1944-09-09 00:00:00+00:00,8.438917,0.0,8.211079
253,1944-09-10 00:00:00+00:00,9.29725,0.0,5.3848724
254,1944-09-11 00:00:00+00:00,9.645167,0.0,5.267234
255,1944-09-12 00:00:00+00:00,10.29725,0.0,11.120635
256,1944-09-13 00:00:00+00:00,13.409751,0.0,12.824889
257,1944-09-14 00:00:00+00:00,13.074333,0.0,7.4750896
258,1944-09-15 00:00:00+00:00,15.565999,2.1000001,16.495352
259,1944-09-16 00:00:00+00:00,13.265999,1.3000001,20.90457
260,1944-09-17 00:00:00+00:00,12.613918,0.0,11.245242
261,1944-09-18 00:00:00+00:00,13.491,0.0,5.9115915
262,1944-09-19 00:00:00+00:00,14.261833,0.4,8.095142
263,1944-09-20 00:00:00+00:00,13.597249,0.70000005,5.413251
264,1944-09-21 00:00:00+00:00,13.370166,0.70000005,6.5278053
265,1944-09-22 00:00:00+00:00,13.35975,9.7,12.393051
266,1944-09-23 00:00:00+00:00,10.405583,4.1,14.262326
267,1944-09-24 00:00:00+00:00,9.282667,6.8999996,13.505782
268,1944-09-25 00:00:00+00:00,9.697249,0.6,16.008062
269,1944-09-26 00:00:00+00:00,10.455583,3.1999998,27.373001
270,1944-09-27 00:00:00+00:00,9.961835,2.5000002,23.110344
271,1944-09-28 00:00:00+00:00,9.655583,0.8000001,17.429348
272,1944-09-29 00:00:00+00:00,13.372251,2.1,24.384869
273,1944-09-30 00:00:00+00:00,10.351417,1.5000001,17.487926
274,1944-10-01 00:00:00+00:00,7.570168,0.1,14.858691
275,1944-10-02 00:00:00+00:00,6.570166,2.2,16.081886
276,1944-10-03 00:00:00+00:00,8.682666,1.2,22.203749
277,1944-10-04 00:00:00+00:00,8.924334,2.6999998,21.98549
278,1944-10-05 00:00:00+00:00,8.647249,0.0,6.21959
279,1944-10-06 00:00:00+00:00,7.1097503,0.0,5.0945506
280,1944-10-07 00:00:00+00:00,9.951416,0.1,7.769132
281,1944-10-08 00:00:00+00:00,10.403501,0.1,5.673097
282,1944-10-09 00:00:00+00:00,9.793083,0.0,5.78054
283,1944-10-10 00:00:00+00:00,10.545166,0.2,11.199632
284,1944-10-11 00:00:00+00:00,11.401417,10.900001,20.11644
285,1944-10-12 00:00:00+00:00,9.407666,8.9,19.019135
286,1944-10-13 00:00:00+00:00,8.791002,10.300001,19.134657
287,1944-10-14 00:00:00+00:00,9.180584,14.500002,23.073168
288,1944-10-15 00:00:00+00:00,8.14725,1.2000002,12.381747
289,1944-10-16 00:00:00+00:00,8.243083,6.7999997,12.542791
